node,send_comm,recv_comm,bimod_score
720575940622838154,0,0,0.9628708276646104
720575940622791429,0,0,0.9628708276646104
720575940622726271,0,0,0.9628708276646104
720575940623471740,0,0,0.9628708276646104
720575940623468691,0,0,0.9628708276646104
720575940623455239,0,0,0.9628708276646104
720575940623444044,0,0,0.9628708276646104
720575940623432918,0,0,0.9628708276646104
720575940623413116,0,0,0.9628708276646104
720575940623387786,0,0,0.9628708276646104
720575940623355114,0,0,0.9628708276646104
720575940623322877,0,0,0.9628708276646104
720575940623276168,0,0,0.9628708276646104
720575940623211725,0,0,0.9628708276646104
720575940623203805,0,0,0.9628708276646104
720575940623201833,0,0,0.9628708276646104
720575940623146701,0,0,0.9628708276646104
720575940623137997,0,0,0.9628708276646104
720575940623133097,0,0,0.9628708276646104
720575940623957173,0,0,0.9628708276646104
720575940623917155,0,0,0.9628708276646104
720575940623888397,0,0,0.9628708276646104
720575940623792648,0,0,0.9628708276646104
720575940623788040,0,0,0.9628708276646104
720575940623781127,0,0,0.9628708276646104
720575940623702345,0,0,0.9628708276646104
720575940623636957,0,0,0.9628708276646104
720575940623636701,0,0,0.9628708276646104
720575940623632904,0,0,0.9628708276646104
720575940623608361,0,0,0.9628708276646104
720575940623579063,0,0,0.9628708276646104
720575940623528925,0,0,0.9628708276646104
720575940623499132,0,0,0.9628708276646104
720575940623478115,0,0,0.9628708276646104
720575940624338056,0,0,0.9628708276646104
720575940624336647,0,0,0.9628708276646104
720575940624323110,0,0,0.9628708276646104
720575940624313834,0,0,0.9628708276646104
720575940624269706,0,0,0.9628708276646104
720575940624258857,0,0,0.9628708276646104
720575940624225741,0,0,0.9628708276646104
720575940624206472,0,0,0.9628708276646104
720575940624184764,0,0,0.9628708276646104
720575940624181700,0,0,0.9628708276646104
720575940624163303,0,0,0.9628708276646104
720575940624155672,0,0,0.9628708276646104
720575940624117245,0,0,0.9628708276646104
720575940624094973,0,0,0.9628708276646104
720575940624057853,0,0,0.9628708276646104
720575940623992317,0,0,0.9628708276646104
720575940624600840,0,0,0.9628708276646104
720575940624590316,0,0,0.9628708276646104
720575940624547622,0,0,0.9628708276646104
720575940624539284,0,0,0.9628708276646104
720575940624538599,0,0,0.9628708276646104
720575940624525043,0,0,0.9628708276646104
720575940624452902,0,0,0.9628708276646104
720575940624435128,0,0,0.9628708276646104
720575940624434323,0,0,0.9628708276646104
720575940624402173,0,0,0.9628708276646104
720575940624395528,0,0,0.9628708276646104
720575940624394790,0,0,0.9628708276646104
720575940624394317,0,0,0.9628708276646104
720575940624377224,0,0,0.9628708276646104
720575940624349993,0,0,0.9628708276646104
720575940624346760,0,0,0.9628708276646104
720575940624986407,0,0,0.9628708276646104
720575940624973831,0,0,0.9628708276646104
720575940624959496,0,0,0.9628708276646104
720575940624951847,0,0,0.9628708276646104
720575940624931888,0,0,0.9628708276646104
720575940624923655,0,0,0.9628708276646104
720575940624911548,0,0,0.9628708276646104
720575940624897516,0,0,0.9628708276646104
720575940624879911,0,0,0.9628708276646104
720575940624774839,0,0,0.9628708276646104
720575940624762300,0,0,0.9628708276646104
720575940624712206,0,0,0.9628708276646104
720575940624705514,0,0,0.9628708276646104
720575940624694503,0,0,0.9628708276646104
720575940624678581,0,0,0.9628708276646104
720575940624604710,0,0,0.9628708276646104
720575940625419495,0,0,0.9628708276646104
720575940625403144,0,0,0.9628708276646104
720575940625357547,0,0,0.9628708276646104
720575940625253193,0,0,0.9628708276646104
720575940625251401,0,0,0.9628708276646104
720575940625223944,0,0,0.9628708276646104
720575940625146621,0,0,0.9628708276646104
720575940625102224,0,0,0.9628708276646104
720575940625096240,0,0,0.9628708276646104
720575940625082969,0,0,0.9628708276646104
720575940625049781,0,0,0.9628708276646104
720575940625045180,0,0,0.9628708276646104
720575940625033196,0,0,0.9628708276646104
720575940625013943,0,0,0.9628708276646104
720575940625000200,0,0,0.9628708276646104
